building;Exercice;lot;compteur;index;consomation_totale;consomation_compteur
501270043;64850e805c3dd747649b3067;135;D01;810;5353;30
501270043;64850e805c3dd747649b3067;136;D02;810;5353;8
501270043;64850e805c3dd747649b3067;136;D02;810;5353;42
501270043;64850e805c3dd747649b3067;138;D04;810;5353;40
501270043;64850e805c3dd747649b3067;142;D1213;810;5353;159
501270043;64850e805c3dd747649b3067;144;D15;810;5353;42
501270043;64850e805c3dd747649b3067;151;D25;810;5353;79
501270043;64850e805c3dd747649b3067;155;E04;810;5353;71
501270043;64850e805c3dd747649b3067;165;E23;810;5353;64
501270043;64850e805c3dd747649b3067;169;F02;810;5353;34
501270043;64850e805c3dd747649b3067;171;F04;810;5353;75
501270043;64850e805c3dd747649b3067;177;F14;810;5353;26
501270043;64850e805c3dd747649b3067;177;F14;810;5353;35
501270043;64850e805c3dd747649b3067;180;F21;810;5353;36
501270043;64850e805c3dd747649b3067;182;F23;810;5353;16
501270043;64850e805c3dd747649b3067;183;F24;810;5353;65
501270043;64850e805c3dd747649b3067;189;G03;810;5353;42
501270043;64850e805c3dd747649b3067;197;G15;810;5353;62
501270043;64850e805c3dd747649b3067;198;G16;810;5353;44
501270043;64850e805c3dd747649b3067;199;G21;810;5353;85
501270043;64850e805c3dd747649b3067;202;G24;810;5353;44
501270043;64850e805c3dd747649b3067;203;G25;810;5353;15
501270043;64850e805c3dd747649b3067;203;G25;810;5353;48
501270043;64850e805c3dd747649b3067;204;G26;810;5353;288
501270043;64850e805c3dd747649b3067;205;H01;810;5353;43
501270043;64850e805c3dd747649b3067;212;H11;810;5353;97
501270043;64850e805c3dd747649b3067;216;H15;810;5353;45
501270043;64850e805c3dd747649b3067;217;H16;810;5353;72
501270043;64850e805c3dd747649b3067;218;H17;810;5353;65
501270043;64850e805c3dd747649b3067;221;H23;810;5353;92
501270043;64850e805c3dd747649b3067;221;H23;810;5353;1
501270043;64850e805c3dd747649b3067;225;H27;810;5353;100
501270043;64850e805c3dd747649b3067;135;D01;830;2268;17
501270043;64850e805c3dd747649b3067;136;D02;830;2268;4
501270043;64850e805c3dd747649b3067;136;D02;830;2268;8
501270043;64850e805c3dd747649b3067;138;D04;830;2268;15
501270043;64850e805c3dd747649b3067;142;D1213;830;2268;90
501270043;64850e805c3dd747649b3067;144;D15;830;2268;19
501270043;64850e805c3dd747649b3067;151;D25;830;2268;31
501270043;64850e805c3dd747649b3067;155;E04;830;2268;15
501270043;64850e805c3dd747649b3067;165;E23;830;2268;23
501270043;64850e805c3dd747649b3067;169;F02;830;2268;11
501270043;64850e805c3dd747649b3067;171;F04;830;2268;55
501270043;64850e805c3dd747649b3067;177;F14;830;2268;9
501270043;64850e805c3dd747649b3067;177;F14;830;2268;14
501270043;64850e805c3dd747649b3067;180;F21;830;2268;21
501270043;64850e805c3dd747649b3067;182;F23;830;2268;4
501270043;64850e805c3dd747649b3067;183;F24;830;2268;8
501270043;64850e805c3dd747649b3067;189;G03;830;2268;16
501270043;64850e805c3dd747649b3067;197;G15;830;2268;16
501270043;64850e805c3dd747649b3067;198;G16;830;2268;21
501270043;64850e805c3dd747649b3067;199;G21;830;2268;54
501270043;64850e805c3dd747649b3067;202;G24;830;2268;23
501270043;64850e805c3dd747649b3067;203;G25;830;2268;6
501270043;64850e805c3dd747649b3067;203;G25;830;2268;20
501270043;64850e805c3dd747649b3067;204;G26;830;2268;27
501270043;64850e805c3dd747649b3067;205;H01;830;2268;10
501270043;64850e805c3dd747649b3067;212;H11;830;2268;69
501270043;64850e805c3dd747649b3067;216;H15;830;2268;18
501270043;64850e805c3dd747649b3067;217;H16;830;2268;51
501270043;64850e805c3dd747649b3067;218;H17;830;2268;0
501270043;64850e805c3dd747649b3067;218;H17 BIS;830;2268;32
501270043;64850e805c3dd747649b3067;221;H23;830;2268;38
501270043;64850e805c3dd747649b3067;225;H27;830;2268;13